area,name,lat,long,status,note,,住所,,,,,,,,
昭島市3,16-3,35.7062688,139.3824061,5,都営玉川町アパート1号棟西角,,東京都昭島市玉川町1丁目8番,,,5,,,,,
昭島市3,16-4,35.7069332,139.3804943,5,睦会児童遊園,,東京都昭島市玉川町2丁目2番,,,5,,,,,
昭島市3,17-1,35.7192098,139.3786586,5,武蔵野学童クラブ,,東京都昭島市武蔵野2丁目3番,,,0,,,,,
昭島市3,17-2,35.7190381,139.3742284,5,武蔵野三丁目西児童遊園,,東京都昭島市武蔵野3丁目5番,,,0,,,,,
昭島市3,17-3,35.7181892,139.3838366,5,むさしの公園,,東京都昭島市もくせいの杜2丁目2番,,,0,,,,,
昭島市3,17-4,35.7192862,139.3824735,5,武蔵野二丁目東児童遊園,,東京都昭島市武蔵野2丁目1番,,,0,,,,,
昭島市3,17-5,35.7198153,139.3807829,5,美ノ宮公園南,,東京都昭島市武蔵野2丁目4番,,,0,,,,,
昭島市3,17-6,35.7209279,139.3804154,5,美ノ宮公園北,,東京都昭島市武蔵野2丁目4番,,,0,,,,,
昭島市2,18-1,35.7132038,139.3607127,2,昭島駅南口駅前広場,,東京都昭島市昭和町2丁目4番,,,2,,,,,
昭島市1,18-2,35.7156253,139.3530351,1,松原町一丁目児童遊園,,東京都昭島市松原町1丁目24番,,,1,,,,,
昭島市2,18-3,35.7098696,139.3579887,2,日枝神社南,,東京都昭島市上川原町2丁目17番,,,2,,,,,
昭島市1,18-4,35.7144439,139.3545177,1,松原町高齢者福祉センター,,東京都昭島市松原町1丁目13番,,,1,,,,,
昭島市1,18-5,35.7130523,139.3591244,1,昭島駅南口第二自転車等駐車場,,東京都昭島市昭和町5丁目15番,,,1,,,,,
昭島市1,18-6,35.7147449,139.3554943,1,松原町一丁目中児童遊園,,東京都昭島市松原町1丁目1番,,,1,,,,,
昭島市1,18-7,35.712725,139.3577389,1,昭和会館,,東京都昭島市松原町1丁目2番,,,1,,,,,
昭島市1,18-8,35.7126517,139.3549173,1,都営松原町一丁目第2アパート,,東京都昭島市松原町1丁目9番,,,1,,,,,
昭島市1,19-1,35.6983314,139.3566139,1,田中備蓄倉庫北,,東京都昭島市田中町3丁目1番,,,4,,,,,
昭島市1,19-2,35.7020813,139.3539376,1,田中バス停留所東,,東京都昭島市田中町2丁目14番,,,4,,,,,
昭島市1,19-3,35.7008574,139.3534633,1,田中小学校北,,東京都昭島市田中町3丁目4番,,,4,,,,,
昭島市1,19-4,35.6998075,139.3538536,1,田中小学校東,,東京都昭島市田中町3丁目4番,,,4,,,,,
昭島市1,19-5,35.7002867,139.3516571,1,田中町住宅第二公園西,,東京都昭島市田中町3丁目5番,,,4,,,,,
昭島市1,19-6,35.7024496,139.3522592,1,田中町住宅第一公園北,,東京都昭島市田中町3丁目5番,,,4,,,,,
昭島市1,19-7,35.7016699,139.3502503,1,田中町三丁目児童遊園東,,東京都昭島市田中町3丁目5番,,,4,,,,,
昭島市1,19-8,35.7005808,139.3500625,1,田中町住宅第三公園北,,東京都昭島市田中町3丁目5番,,,4,,,,,
昭島市3,20-1,35.7240004,139.3762717,5,グリコ東京工場南,,東京都昭島市武蔵野2丁目14番,,,0,,,,,
昭島市3,20-2,35.7210482,139.3741965,5,武蔵野通り西,,東京都昭島市武蔵野3丁目8番,,,0,,,,,
昭島市2,20-3,35.7143998,139.3712922,2,つつじが丘公園北,,東京都昭島市つつじが丘3丁目1番,,,2,,,,,
昭島市2,20-4,35.7156649,139.3703002,2,瑞雲中学校西門,,東京都昭島市つつじが丘2丁目2番,,,2,,,,,
昭島市2,20-5,35.7145295,139.3681268,2,つつじが丘ハイツ15号棟西,,東京都昭島市つつじが丘2丁目4番,,,2,,,,,
昭島市2,20-6,35.7137943,139.3685505,2,つつじが丘ハイツ6号棟北,,東京都昭島市つつじが丘3丁目5番,,,2,,,,,
昭島市2,20-7,35.7138528,139.3665763,2,市民会館北,,東京都昭島市つつじが丘3丁目7番,,,2,,,,,
昭島市2,20-8,35.7122978,139.3657127,2,市民会館公園,,東京都昭島市つつじが丘3丁目7番,,,2,,,,,
昭島市3,20-9,35.7228302,139.3751896,5,日ノ出台公園,,東京都昭島市武蔵野2丁目10番,,,0,,,,,
福生市1,01-1,35.7390373,139.3268137,0,福生市役所前交差点付近,,東京都福生市本町５番地 福生市役所,,,,,,,,
福生市1,01-2,35.7362713,139.3244055,0,森田氏宅ブロック塀,,東京都福生市大字福生479番地,,,,,,,,
福生市1,01-3,35.7350481,139.3226807,0,田園通り側公用車置き場フェンス,,東京都福生市北田園二丁目９番地１ 福生市立中央体育館,,,,,,,,
福生市1,01-4,35.739181,139.3298275,0,ネッツトヨタ多摩社員駐車場前,,東京都福生市本町25番地4,,,,,,,,
福生市1,01-5,35.7362232,139.3305755,0,志茂公園北側（出入り口に向かって右側花壇）,,東京都福生市志茂73番地,,,,,,,,
福生市1,01-6,35.7418323,139.3312164,0,駐車場フェンス,,東京都福生市大字福生786番地１ (株)大多摩ハム小林商会,,,,,,,,
福生市1,01-7,35.7408849,139.3304092,0,スズケン福生支店フェンス,,東京都福生市本町43番地 スズケン福生支店,,,,,,,,
福生市1,01-8,35.7357736,139.3266607,0,中福生会館道路側フェンス,,東京都福生市志茂232番地,,,,,,,,
福生市1,02-1,35.7418811,139.3251284,0,新奥多摩街道沿い体育館脇フェンス,,東京都福生市大字福生1055番地 福生第一小学校,,,,,,,,
